delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_minutes,expected_time_minutes,delayed,delivery_status,delivery_rating,delivery_cost,Traffic_Level,Peak_Hour,Rider_Workload,ETA_Minutes,Delay_Risk,Delivery_Intelligence_Score
250.99,delhivery,automobile parts,Bike,Instant,west,clear,6.57,2.87,28,24,no,delivered,3,72.56,Medium,No,1,24,Medium,91
250.99,xpressbees,cosmetics,EV Scooter,Scheduled,central,cold,0.74,6.85,12,12,no,delivered,5,25.92,Low,Yes,1,12,Low,99
250.99,shadowfax,groceries,Scooter,Priority,east,rainy,3.11,1.9,27,21,no,delivered,4,44.88,Medium,Yes,5,21,Medium,83
250.99,dhl,electronics,Scooter,Scheduled,east,cold,2.62,6.26,14,16,no,delivered,3,40.96,Low,Yes,2,16,Low,100
250.99,dhl,clothing,Bike,Instant,north,foggy,7.5,0.38,31,22,no,delivered,4,80,Low,No,2,22,High,80
250.99,amazon logistics,documents,Bike,Priority,west,rainy,6.93,3.78,31,28,yes,delayed,3,83.44,High,No,4,28,Low,85
250.99,delhivery,groceries,Bike,Priority,central,clear,8.98,5.73,27,27,no,delivered,3,91.84,Low,Yes,4,27,Low,96
250.99,xpressbees,fragile items,Bike,Priority,north,cold,1.33,1.7,20,14,no,delivered,3,30.64,Medium,No,3,14,Medium,85
250.99,blue dart,clothing,EV Scooter,Priority,south,hot,4.51,3.73,29,19,no,delivered,5,56.08,Low,Yes,3,19,High,77
250.99,delhivery,pharmacy,Scooter,Scheduled,east,foggy,0.78,1.16,13,12,no,delivered,5,26.24,Low,Yes,5,12,Low,93
250.99,fedex,groceries,Bike,Scheduled,east,cold,2.58,5.57,21,16,no,delivered,4,40.64,Low,Yes,1,16,Medium,89
250.99,ecom express,electronics,EV Scooter,Instant,east,cold,5.3,3.03,36,26,no,delivered,5,70.4,High,No,5,26,High,70
250.99,xpressbees,pharmacy,EV Scooter,Instant,north,rainy,0.75,3.14,19,16,no,delivered,4,26,Medium,Yes,3,16,Low,91
250.99,xpressbees,cosmetics,Scooter,Scheduled,east,stormy,2.39,4.17,19,12,yes,failed,1,39.12,Low,No,3,12,Medium,83
250.99,xpressbees,automobile parts,Bike,Priority,east,stormy,6.67,1.07,32,30,no,delivered,3,81.36,High,Yes,2,30,Low,89
250.99,amazon logistics,furniture,EV Scooter,Scheduled,north,hot,5.68,7.66,32,26,yes,delayed,3,73.44,High,No,4,26,Medium,79
250.99,fedex,documents,Bike,Priority,west,stormy,2.59,0.26,19,16,no,delivered,5,40.72,Low,Yes,1,16,Low,93
250.99,blue dart,fragile items,EV Scooter,Priority,central,rainy,6.1,7.45,28,26,no,delivered,5,68.8,Medium,Yes,1,26,Low,95
250.99,amazon logistics,documents,Scooter,Instant,north,rainy,8.19,7.83,21,23,no,delivered,3,85.52,Low,No,4,23,Low,100
250.99,fedex,cosmetics,Scooter,Scheduled,north,rainy,0.56,7.87,21,20,yes,failed,2,32.48,High,Yes,3,20,Low,90
250.99,fedex,automobile parts,Bike,Priority,east,foggy,8.16,4.21,39,30,no,delivered,4,93.28,High,Yes,1,30,High,76
250.99,dhl,electronics,Bike,Scheduled,west,stormy,7.13,6.29,26,25,no,delivered,4,77.04,Medium,No,4,25,Low,94
250.99,blue dart,automobile parts,Scooter,Scheduled,north,cold,3.73,7.79,18,19,no,delivered,5,49.84,Medium,No,2,19,Low,100
250.99,ecom express,clothing,EV Scooter,Priority,central,clear,1.98,7.43,20,15,no,delivered,4,35.84,Low,Yes,1,15,Medium,89
250.99,amazon logistics,furniture,Scooter,Priority,east,foggy,9.59,5.11,35,30,no,delivered,5,104.72,High,Yes,1,30,Medium,84
250.99,shadowfax,documents,Scooter,Instant,north,stormy,3.7,3.67,27,22,no,delivered,4,49.6,Medium,Yes,3,22,Medium,87
250.99,dhl,clothing,EV Scooter,Priority,east,foggy,1.38,7.89,22,17,yes,delayed,3,31.04,Medium,Yes,5,17,Medium,85
250.99,amazon logistics,cosmetics,Scooter,Instant,east,clear,1.42,5.35,19,18,no,delivered,3,31.36,Medium,Yes,2,18,Low,96
250.99,fedex,furniture,Scooter,Instant,south,hot,8.55,0.85,33,30,no,delivered,5,96.4,High,No,4,30,Low,85
250.99,dhl,furniture,Scooter,Scheduled,east,rainy,6.24,6.39,33,26,no,delivered,5,69.92,Medium,Yes,2,26,Medium,84
250.99,fedex,furniture,EV Scooter,Instant,south,hot,8.17,7.97,26,27,no,delivered,5,85.36,Medium,No,1,27,Low,100
